Phylum,Genus,Sample_ID,Abundance,Group
Outros,Outros,A100,1,TEA
Outros,Outros,A100,6,TEA
Outros,Outros,A100,314,TEA
Outros,Outros,A100,1,TEA
Outros,Outros,A100,1,TEA
Outros,Outros,A100,17,TEA
Outros,Outros,A100,179,TEA
Outros,Outros,A100,41,TEA
Outros,Outros,A100,373,TEA
Outros,Outros,A100,173,TEA
Outros,Outros,A100,32,TEA
Outros,Outros,A100,3,TEA
Outros,Outros,A100,46,TEA
Outros,Outros,A100,1182,TEA
Outros,Outros,A100,13,TEA
Outros,Outros,A100,4,TEA
Outros,Outros,A100,1,TEA
Outros,Outros,A100,5,TEA
Outros,Outros,A100,9,TEA
Outros,Outros,A100,408,TEA
Outros,Outros,A100,694,TEA
